Goles, Tiros Totales, xG                  , npxG                , xAG                 , xA                  , Acciones_que_crean_tiros, Pases_intentados, Pases_progresivos, Regates_exitosos, Pases_medios_completados, Pases_largos_completados, Pases_en_ultimo_tercio, Pases_al_hueco, Pases_centros, Pases_completados, Valla_no_vencida, Errores_defnsivos_ocasion_tiro, Toques_en_zona_ofensiva, Toques_en_area_rival, %_de_regates_exitosos, Acarreos_ultimo_tercio, Pases_recibidos, Pases_progresivos_recibidos, Centros, Duelos_aereos_ganados, %_de_duelos_aereos_ganados, market_value_million_eur, age_years         , GK, DF, MF, FW, nat_Other, nat_ar ARG, nat_be BEL, nat_br BRA, nat_ch SUI, nat_ci CIV, nat_dk DEN, nat_dz ALG, nat_eng ENG, nat_es ESP, nat_fr FRA, nat_gh GHA, nat_it ITA, nat_ma MAR, nat_ml MLI, nat_ng NGA, nat_nl NED, nat_pt POR, nat_rs SRB, nat_se SWE, nat_sn SEN
    0,             4,  0.1                ,  0.1                ,  1.0                ,  1.1                ,                       20,              265,                14,                4,                       90,                       20,                     10,              0,            57,               179,                4,                              1,                     128,                    8,    36.11666666666667 ,                      5,             163,                          29,      57,                     0,          0.0              ,                     6.5 , 27.95068493150685 ,  0,  1,  0,  0, False    , False     , False     , False     , False     , False     , False     , False     , False      , True      , False     , False     , False     , False     , False     , False     , False     , False     , False     , False     , False
    0,             2,  0.0                ,  0.0                ,  0.5                ,  0.6                ,                       13,              223,                21,                7,                       45,                        4,                     11,              3,            14,               178,                3,                              0,                      89,                   10,    41.975            ,                      7,             152,                          27,      14,                     1,          8.325            ,                    24.0 , 27.435616438356163,  0,  1,  0,  0, False    , False     , False     , False     , False     , False     , False     , False     , True       , False     , False     , False     , False     , False     , False     , False     , False     , False     , False     , False     , False
    0,             0,  0.0                ,  0.0                ,  0.0                ,  0.0                ,                        2,               66,                 0,                2,                       22,                        6,                      0,              0,             0,                60,                0,                              0,                       6,                    0,   100.0              ,                      0,              40,                           0,       0,                     2,        100.0              ,                    10.0 , 21.649315068493152,  0,  1,  0,  0, False    , False     , False     , False     , False     , True      , False     , False     , False      , False     , False     , False     , False     , False     , False     , False     , False     , False     , False     , False     , False
    4,            30,  4.0                ,  4.0                ,  1.4                ,  1.0                ,                       30,              320,                30,               10,                       56,                        6,                      6,              0,            12,               220,                6,                              0,                     246,                   74,    23.330000000000002,                     16,             362,                          82,      12,                    40,         64.28999999999999 ,                     9.0 , 23.82191780821918 ,  0,  0,  0,  1, False    , False     , False     , False     , False     , False     , False     , False     , False      , False     , False     , False     , False     , False     , False     , False     , False     , False     , False     , False     , True
    0,            39,  5.3                ,  4.5                ,  1.1                ,  1.0                ,                       44,              529,                45,               35,                       91,                        9,                     28,              2,            38,               379,               10,                              0,                     407,                  104,    44.127272727272725,                     52,             541,                         147,      38,                    18,         36.43636363636364 ,                    12.0 , 23.43013698630137 ,  0,  0,  0,  1, False    , False     , False     , False     , False     , False     , False     , False     , False      , False     , False     , False     , False     , True      , False     , False     , False     , False     , False     , False     , False
    0,             4,  0.0                ,  0.0                ,  0.30000000000000004,  0.30000000000000004,                        8,               87,                 3,                2,                       16,                        6,                      0,              0,            12,                54,                5,                              0,                      62,                   12,    13.34             ,                      5,              79,                          27,      12,                     1,          6.659999999999999,                     0.7 , 26.326027397260273,  0,  0,  0,  1, False    , False     , False     , False     , False     , False     , False     , True      , False      , False     , False     , False     , False     , False     , False     , False     , False     , False     , False     , False     , False
    0,             1,  0.2                ,  0.2                ,  0.0                ,  0.0                ,                        1,               17,                 1,                1,                        3,                        0,                      1,              0,             0,                12,                1,                              0,                       9,                    2,    25.0              ,                      0,              28,                           3,       0,                     4,         42.45             ,                     1.2 , 32.345205479452055,  0,  0,  0,  1, False    , False     , False     , False     , False     , False     , False     , False     , False      , True      , False     , False     , False     , False     , False     , False     , False     , False     , False     , False     , False
    0,             8,  1.6                ,  1.6                ,  0.3                ,  0.4                ,                        9,               85,                 9,                5,                       19,                        1,                      4,              0,             4,                64,                2,                              0,                      49,                    9,    45.825            ,                      9,              89,                           9,       4,                     5,         50.0              ,                     1.8 , 26.923287671232877,  0,  0,  1,  1, False    , False     , False     , False     , False     , False     , False     , False     , False      , False     , False     , False     , False     , False     , False     , False     , True      , False     , False     , False     , False
    0,             0,  0.0                ,  0.0                ,  0.0                ,  0.1                ,                        1,                8,                 0,                1,                        2,                        0,                      0,              0,             1,                 4,                1,                              0,                       2,                    0,    50.0              ,                      0,               6,                           1,       1,                     0,          0.0              ,                     2.0 , 22.44109589041096 ,  0,  0,  1,  0, False    , False     , False     , False     , False     , False     , False     , False     , False      , True      , False     , False     , False     , False     , False     , False     , False     , False     , False     , False     , False
    7,            31,  8.0                ,  2.2                ,  0.2                ,  0.0                ,                       33,              713,                74,               15,                      262,                       82,                     64,              2,             6,               582,               11,                              4,                     147,                   27,    52.94117647058823 ,                      8,             565,                          15,       6,                    17,         66.67058823529412 ,                     3.0 , 31.186301369863013,  0,  0,  1,  0, True     , False     , False     , False     , False     , False     , False     , False     , False      , False     , False     , False     , False     , False     , False     , False     , False     , False     , False     , False     , False
    0,             1,  0.0                ,  0.0                ,  0.0                ,  0.0                ,                        1,               48,                 2,                0,                       22,                        1,                      0,              0,             0,                41,                1,                              1,                       1,                    0,     0.0              ,                      0,              43,                           0,       0,                     0,          0.0              ,                    35.0 , 20.90684931506849 ,  0,  1,  0,  0, True     , False     , False     , False     , False     , False     , False     , False     , False      , False     , False     , False     , False     , False     , False     , False     , False     , False     , False     , False     , False
    0,             1,  0.1                ,  0.1                ,  0.0                ,  0.0                ,                        2,               91,                 6,                2,                       43,                        4,                      5,              0,             1,                78,                1,                              0,                       2,                    1,    50.0              ,                      0,              68,                           0,       1,                     3,         75.0              ,                     5.0 , 26.7013698630137  ,  0,  1,  0,  0, False    , False     , False     , False     , False     , False     , False     , False     , False      , False     , False     , True      , False     , False     , False     , False     , False     , False     , False     , False     , False
    2,             5,  1.4000000000000001 ,  0.6                ,  0.1                ,  0.2                ,                        7,              108,                 9,                6,                       35,                        9,                      6,              0,             3,                94,                1,                              0,                      74,                   26,    35.4125           ,                      4,             120,                          31,       3,                     6,         39.5875           ,                     4.0 , 25.32054794520548 ,  0,  0,  0,  1, False    , False     , False     , False     , False     , False     , False     , False     , False      , True      , False     , False     , False     , False     , False     , False     , False     , False     , False     , False     , False
    0,             2,  0.2                ,  0.2                ,  0.4                ,  0.8                ,                        6,               66,                 2,                0,                       14,                        4,                      2,              0,            12,                56,                2,                              0,                      44,                    4,     0.0              ,                      0,              54,                          10,      12,                     2,         33.3              ,                     7.0 , 24.26027397260274 ,  0,  1,  0,  0, False    , False     , False     , True      , False     , False     , False     , False     , False      , False     , False     , False     , False     , False     , False     , False     , False     , False     , False     , False     , False
    0,             6,  0.2                ,  0.2                ,  1.0                ,  1.0                ,                       28,              454,                36,                8,                      118,                       16,                     42,              0,            16,               392,                2,                              2,                     194,                   16,    63.333333333333336,                     10,             370,                          50,      16,                     6,         58.333333333333336,                    80.0 , 26.04931506849315 ,  0,  1,  0,  0, False    , False     , False     , False     , False     , False     , False     , False     , False      , False     , False     , False     , False     , True      , False     , False     , False     , False     , False     , False     , False
    0,             0,  0.0                ,  0.0                ,  0.2                ,  0.2                ,                        5,               91,                 6,                5,                       22,                        1,                      3,              0,             4,                65,                2,                              0,                      26,                    2,    40.0              ,                      1,              60,                           8,       4,                     4,         75.0              ,                     4.0 , 18.945205479452056,  0,  1,  0,  0, False    , False     , False     , False     , False     , False     , False     , False     , False      , False     , False     , False     , False     , True      , False     , False     , False     , False     , False     , False     , False
    0,             1,  0.1                ,  0.1                ,  0.0                ,  0.0                ,                        2,              142,                 6,                1,                       47,                        9,                      9,              0,             1,               121,                2,                              0,                      34,                    2,    25.0              ,                      4,              98,                           4,       1,                     3,         56.25             ,                     3.5 , 32.54520547945206 ,  0,  1,  0,  1, True     , False     , False     , False     , False     , False     , False     , False     , False      , False     , False     , False     , False     , False     , False     , False     , False     , False     , False     , False     , False
